Ref,Val,Package,PosX,PosY,Rot,Side
"D1","POWER LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.500000,-95.495000,0.000000,top
"D2","STATUS LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.525000,-95.500000,0.000000,top
